CID,BDATE,GEN
NASAW00011601,1983-02-18,Male
NASAW00011602,1982-10-11,Male
NASAW00011603,1982-08-06,Male
NASAW00011604,1982-12-01,Male
NASAW00011605,1982-05-20,Female
NASAW00011606,1986-01-30,Female
NASAW00011607,1986-05-05,Male
NASAW00011608,1981-09-01,Male
NASAW00011609,1981-12-24,Male
NASAW00011610,1980-10-20,Male
NASAW00011611,1985-02-23,Male
NASAW00011612,1985-10-07,Male
NASAW00011613,1981-05-02,Female
NASAW00011614,1981-02-13,Female
NASAW00011615,1981-05-20,Male
NASAW00011616,1980-09-05,Female
NASAW00011617,1964-10-01,Male
NASAW00011618,1964-10-21,Male
NASAW00011619,1978-10-29,Female
NASAW00011620,1978-10-18,Female
NASAW00011621,1978-08-19,Female
NASAW00011622,1979-06-16,Male
NASAW00011623,1978-12-25,Female
NASAW00011624,1984-03-19,Male
NASAW00011625,1978-07-19,Male
NASAW00011626,1978-12-12,Female
NASAW00011627,1978-08-27,Male
NASAW00011628,1977-11-14,Female
NASAW00011629,1976-08-07,Male
NASAW00011630,1977-06-23,Female
NASAW00011631,1976-08-12,Male
NASAW00011632,1982-05-02,Female
NASAW00011633,1977-11-23,Male
NASAW00011634,1977-12-10,Male
NASAW00011635,1983-08-11,Male
NASAW00011636,1978-06-21,Female
NASAW00011637,1983-08-11,Female
NASAW00011638,1977-09-09,Male
NASAW00011639,1978-06-22,Female
NASAW00011640,1975-10-31,Female
NASAW00011641,1976-02-09,Male
NASAW00011642,1976-06-24,Female
NASAW00011643,1976-01-24,Female
NASAW00011644,1975-04-06,Male
NASAW00011645,1975-04-18,Female
NASAW00011646,1980-03-15,Female
NASAW00011647,1975-03-22,Male
NASAW00011648,1980-04-12,Male
NASAW00011649,1980-01-23,Male
NASAW00011650,1975-01-23,Male
NASAW00011651,1982-12-13,Female
NASAW00011652,1982-05-01,Male
NASAW00011653,1982-06-04,Female
NASAW00011654,1977-03-18,Female
NASAW00011655,1982-03-28,Female
NASAW00011656,1977-03-19,Female
NASAW00011657,1976-10-31,Female
NASAW00011658,1985-08-03,Male
NASAW00011659,1974-10-20,Male
NASAW00011660,1980-01-19,Female
NASAW00011661,1981-01-03,Male
NASAW00011662,1976-01-01,Male
NASAW00011663,1975-08-25,Male
NASAW00011664,1975-08-09,Female
NASAW00011665,1976-06-11,Female
NASAW00011666,1981-12-13,Male
NASAW00011667,1972-12-18,Male
NASAW00011668,1984-03-02,Female
NASAW00011669,1978-10-17,Female
NASAW00011670,1973-04-15,Female
NASAW00011671,1971-11-15,Female
NASAW00011672,1972-03-20,Male
NASAW00011673,1977-02-03,Female
NASAW00011674,1972-02-15,Female
NASAW00011675,1977-01-29,Male
NASAW00011676,1971-08-13,Male
NASAW00011677,1980-10-10,Male
NASAW00011678,1974-07-28,Male
NASAW00011679,1974-11-05,Male
NASAW00011680,1975-03-04,Female
NASAW00011681,1975-02-04,Female
NASAW00011682,1980-03-12,Female
NASAW00011683,1974-07-05,Male
NASAW00011684,1971-03-31,Male
NASAW00011685,1970-08-07,Male
NASAW00011686,1976-04-09,Male
NASAW00011687,1976-07-09,Male
NASAW00011688,1976-12-21,Female
NASAW00011689,1971-03-06,Male
NASAW00011690,1976-01-10,Female
NASAW00011691,1974-12-30,Female
NASAW00011692,1969-12-17,Male
NASAW00011693,1975-09-21,Female
NASAW00011694,1969-09-21,Male
NASAW00011695,1969-07-10,Male
NASAW00011696,1975-04-02,Female
NASAW00011697,1975-06-21,Male
NASAW00011698,1975-11-22,Male
NASAW00011699,1968-09-12,Male
NASAW00011700,1969-05-24,Male
NASAW00011701,1985-08-16,Male
NASAW00011702,1974-10-13,Female
NASAW00011703,1973-12-22,Female
NASAW00011704,1973-11-29,Male
NASAW00011705,1979-05-18,Female
NASAW00011706,1968-08-13,Male
NASAW00011707,1969-06-20,Female
NASAW00011708,1974-09-15,Female
NASAW00011709,1968-08-18,Female
NASAW00011710,1967-09-17,Female
NASAW00011711,1973-12-04,Male
NASAW00011712,1968-05-02,Female
NASAW00011713,1967-09-17,Male
NASAW00011714,1968-04-16,Female
NASAW00011715,1968-03-20,Female
NASAW00011716,1967-04-20,Male
NASAW00011717,1972-08-29,Male
NASAW00011718,1972-11-10,Female
NASAW00011719,1971-05-05,Male
NASAW00011720,1965-09-23,Female
NASAW00011721,1971-01-18,Female
NASAW00011722,1965-12-30,Male
NASAW00011723,1973-02-17,Male
NASAW00011724,1972-10-12,Male
NASAW00011725,1973-03-16,Male
NASAW00011726,1973-01-13,Male
NASAW00011727,1973-01-05,Male
NASAW00011728,1965-07-06,Male
NASAW00011729,1971-05-03,Male
NASAW00011730,1966-04-01,Female
NASAW00011731,1966-02-16,Female
NASAW00011732,1970-02-04,Male
NASAW00011733,1970-07-23,Female
NASAW00011734,1970-08-21,Male
NASAW00011735,1964-07-21,Female
NASAW00011736,1970-09-21,Male
NASAW00011737,1970-02-04,Female
NASAW00011738,1970-10-05,Male
NASAW00011739,1964-11-10,Male
NASAW00011740,1964-10-21,Female
NASAW00011741,1965-01-22,Female
NASAW00011742,1964-05-01,Male
NASAW00011743,1974-09-09,Male
NASAW00011744,1964-03-06,Female
NASAW00011745,1964-04-11,Female
NASAW00011746,1964-05-30,Male
NASAW00011747,1963-08-09,Female
NASAW00011748,1964-01-15,Male
NASAW00011749,1980-09-09,Male
NASAW00011750,1984-09-17,Female
NASAW00011751,1976-01-14,Female
NASAW00011752,1981-05-03,Female
NASAW00011753,1975-09-15,Female
NASAW00011754,1976-01-05,Female
NASAW00011755,1973-11-12,Male
NASAW00011756,1974-03-13,Female
NASAW00011757,1979-05-11,Male
NASAW00011758,1979-12-19,Male
NASAW00011759,1980-11-18,Female
NASAW00011760,1973-04-25,Female
NASAW00011761,1972-10-16,Male
NASAW00011762,1984-02-17,Male
NASAW00011763,1972-08-10,Male
NASAW00011764,1973-01-13,Female
NASAW00011765,1983-04-06,Male
NASAW00011766,1972-01-01,Female
NASAW00011767,1977-05-20,Female
NASAW00011768,1983-04-03,Male
NASAW00011769,1979-02-14,Female
NASAW00011770,1979-02-20,Male
NASAW00011771,1979-04-07,Male
NASAW00011772,1984-01-21,Male
NASAW00011773,1979-01-03,Male
NASAW00011774,1978-10-10,Female
NASAW00011775,2050-11-22,Female
NASAW00011776,1978-12-31,Male
NASAW00011777,1978-01-21,Female
NASAW00011778,1976-09-17,Female
NASAW00011779,1977-01-15,Female
NASAW00011780,1977-05-19,Female
NASAW00011781,1976-09-06,Male
NASAW00011782,1982-03-13,Female
NASAW00011783,1982-11-13,Female
NASAW00011784,1978-06-18,Male
NASAW00011785,1983-02-21,Male
NASAW00011786,1978-03-13,Male
NASAW00011787,1978-03-05,Male
NASAW00011788,1977-08-18,Female
NASAW00011789,1981-02-16,Female
NASAW00011790,1981-05-17,Male
NASAW00011791,1975-10-19,Male
NASAW00011792,1974-11-24,Female
NASAW00011793,1980-03-16,Male
NASAW00011794,1975-05-01,Female
NASAW00011795,1974-08-15,Female
NASAW00011796,1985-08-03,Female
NASAW00011797,1980-03-03,Male
NASAW00011798,1974-08-12,Male
NASAW00011799,1980-09-09,Male
NASAW00011800,1975-05-07,Female
NASAW00011801,1975-03-16,Male
NASAW00011802,1977-02-05,Female
NASAW00011803,1977-03-11,Female
NASAW00011804,1976-10-15,Female
NASAW00011805,1976-09-08,Male
NASAW00011806,1982-08-06,Female
NASAW00011807,1977-03-03,Male
NASAW00011808,1974-10-10,Male
NASAW00011809,1973-07-01,Male
NASAW00011810,1978-01-03,Male
NASAW00011811,1978-06-11,Female
NASAW00011812,1973-03-21,Male
NASAW00011813,1973-05-11,Female
NASAW00011814,1976-01-05,Male
